,Average Degree,Variance,Global Clustering Coefficient,Local Clustering Coefficient,Degree Assortativity
dms-100-36,3.94,63.87860674748628,0.15883306320907617,0.7802098497907322,-0.27759042846830856,
ba-100-37,3.94,54.64866329563789,0.046012269938650305,0.1389080873374991,-0.30363695987299627,
dms-100-37,3.94,69.93194119999815,0.13031914893617022,0.7994973262032086,-0.3164610715574579,
ba-100-38,3.94,56.64341444510562,0.06996466431095406,0.14568635993635992,-0.19460091728999251,
dms-100-38,3.94,60.20362447560778,0.18114602587800369,0.7853210981828629,-0.27884638290776326,
ba-100-39,3.94,54.59373956782957,0.0622598001537279,0.15904862287470983,-0.20683280863457576,
dms-100-39,3.94,63.61192026656639,0.16030534351145037,0.8027283951342775,-0.30467485357445234,
ba-200-0,3.97,79.13431051067545,0.04157549234135667,0.08566945477580777,-0.09990078546140996,
dms-200-0,3.97,97.23291160918714,0.13692946058091288,0.7962603752493352,-0.2327588329450767,
ba-200-1,3.97,75.57935630845238,0.029185245237130116,0.031479667589032916,-0.07628515164097346,
dms-200-1,3.97,99.90114664006616,0.12910236905020647,0.8020722256361856,-0.24189413803508622,
ba-200-2,3.97,82.2814626753803,0.031041388518024033,0.08571118545641872,-0.18028794977945017,
dms-200-2,3.97,106.20847000121978,0.1131213102266235,0.8107454878677975,-0.27430022710695384,
ba-200-3,3.97,83.32010021597429,0.03990914990266061,0.08688388672730778,-0.13110027778148478,
dms-200-3,3.97,102.23619271080081,0.12280339053132107,0.8008109163429948,-0.26550643085445036,
ba-200-4,3.97,84.01332691900731,0.03343949044585987,0.0915419172109225,-0.1748413689561036,
dms-200-4,3.97,107.39757492606618,0.11044998140572704,0.8178773350167562,-0.2774111782835456,
ba-200-5,3.97,81.94046070165825,0.03032345013477089,0.075010419262461,-0.16827739874998043,
dms-200-5,3.97,105.44306093811959,0.1148936170212766,0.8037310606113118,-0.25540809807704473,
ba-200-6,3.97,80.47508372160914,0.03159003159003159,0.06209076980101007,-0.14385075452831964,
dms-200-6,3.97,110.61753522837145,0.10368301623319952,0.8015058876596781,-0.24979105414479166,
ba-200-7,3.97,84.94844966213333,0.04193849021435228,0.10072945751247003,-0.1371085011802916,
dms-200-7,3.97,115.42200440124059,0.09470663265306123,0.8148457653457654,-0.27935770439063357,
ba-200-8,3.97,77.08592024488,0.037180480247869865,0.07536507705849138,-0.19808707200676884,
dms-200-8,3.97,112.34873875571546,0.10030395136778116,0.8107054345658944,-0.2586438942955571,
ba-200-9,3.97,80.53719078785899,0.035739313244569026,0.06971616907543682,-0.11928670968467378,
dms-200-9,3.97,106.8280819822204,0.1117171337220237,0.8009213339550026,-0.23581615598246358,
ba-200-10,3.97,80.7356123405279,0.03240418118466899,0.06430669008929878,-0.1605514327116193,
dms-200-10,3.97,105.12962998127598,0.11563169164882227,0.8061491293730424,-0.2697191794914435,
ba-200-11,3.97,82.94720670402349,0.04031465093411996,0.08397043661697005,-0.12808805523701158,
dms-200-11,3.97,97.63318646853641,0.135709389993146,0.793306897379159,-0.22686528359637678,
ba-200-12,3.97,85.45313979017973,0.03862660944206009,0.11252416965254493,-0.19856347578619832,
dms-200-12,3.97,103.42262373388137,0.11978221415607986,0.8058598170981291,-0.2421868604539608,
ba-200-13,3.97,78.06560766432295,0.028216704288939052,0.054552419918216126,-0.17783764031351115,
dms-200-13,3.97,107.73225654371119,0.1097155522718877,0.8091942516640187,-0.27183683172941026,
ba-200-14,3.97,95.12223241703278,0.04353083434099154,0.1558006922567996,-0.16524992440451616,
dms-200-14,3.97,106.90294242910248,0.1115492957746479,0.8118069694855409,-0.3001884053553211,
ba-200-15,3.97,76.95608552934588,0.03265940902021773,0.06306893207125405,-0.13296243183527454,
dms-200-15,3.97,102.63644138413997,0.12177121771217712,0.8104711163306365,-0.2421346185769645,
ba-200-16,3.97,85.85009668020182,0.031856796116504854,0.08527312108623301,-0.20318969269587764,
dms-200-16,3.97,101.18418404078773,0.12558139534883722,0.7976374269005848,-0.23976375403222913,
ba-200-17,3.97,80.82226858978903,0.04171011470281543,0.08558211888109586,-0.1569330930136195,
dms-200-17,3.97,101.2533411794396,0.12539582013932868,0.8065069452911559,-0.26404934017343035,
ba-200-18,3.97,79.33624077305403,0.043509789702683106,0.09210666314190656,-0.09142280083138753,
dms-200-18,3.97,104.68160822226606,0.11669941060903732,0.8054694415249753,-0.2836488992921914,
ba-200-19,3.97,82.36649258041767,0.04095904095904096,0.09432701465313525,-0.16643042993106236,
dms-200-19,3.97,103.08365098307297,0.1206336311941511,0.8053006938967465,-0.23804760980464468,
ba-200-20,3.97,78.9065212767614,0.03854625550660793,0.07440365143374296,-0.14580142932180953,
