,Variance
ba-300-33,19.659599999999998,
dms-300-33,47.4996,
ba-300-34,18.086266666666667,
dms-300-34,46.4596,
ba-300-35,24.2596,
dms-300-35,51.90626666666667,
ba-300-36,22.799599999999998,
dms-300-36,46.00626666666667,
ba-300-37,19.206266666666664,
dms-300-37,63.586266666666674,
ba-300-38,23.092933333333335,
dms-300-38,44.10626666666666,
ba-300-39,17.412933333333335,
dms-300-39,44.1396,
ba-400-0,21.754775,
dms-400-0,47.799775,
ba-400-1,20.194775000000003,
dms-400-1,55.669775000000016,
ba-400-2,20.469775000000002,
dms-400-2,47.28477500000001,
ba-400-3,19.589775,
dms-400-3,53.23477500000001,
ba-400-4,28.784775,
dms-400-4,47.909774999999996,
ba-400-5,22.884775,
dms-400-5,53.044775,
ba-400-6,26.724775000000005,
dms-400-6,55.689775,
ba-400-7,21.874775000000003,
dms-400-7,62.564775,
ba-400-8,19.974774999999998,
dms-400-8,53.95977500000001,
ba-400-9,25.009775,
dms-400-9,53.354775000000004,
ba-400-10,36.09977500000001,
dms-400-10,57.17477500000001,
ba-400-11,29.604775,
dms-400-11,39.619775000000004,
ba-400-12,19.859775000000003,
dms-400-12,45.50477500000001,
ba-400-13,23.299774999999993,
dms-400-13,55.204775,
ba-400-14,21.904774999999997,
dms-400-14,51.08477500000001,
ba-400-15,25.884775,
dms-400-15,57.649775000000005,
ba-400-16,21.349774999999998,
dms-400-16,51.899775000000005,
ba-400-17,21.099775000000005,
dms-400-17,50.29977500000001,
ba-400-18,20.754775,
dms-400-18,61.954775,
ba-400-19,21.924775000000007,
dms-400-19,53.55477500000001,
ba-400-20,25.604775,
dms-400-20,54.19477500000001,
ba-400-21,29.91977499999999,
dms-400-21,58.979775000000004,
ba-400-22,20.399775,
dms-400-22,46.274775000000005,
ba-400-23,18.804775000000003,
dms-400-23,41.954775,
ba-400-24,23.949775,
dms-400-24,64.79977500000001,
ba-400-25,25.039774999999995,
dms-400-25,59.63477500000002,
ba-400-26,24.709775000000004,
dms-400-26,50.00977500000002,
ba-400-27,21.10977500000001,
dms-400-27,48.53477500000001,
ba-400-28,20.434775,
dms-400-28,51.744775000000004,
ba-400-29,23.719775000000002,
dms-400-29,54.014775000000014,
ba-400-30,22.754775,
dms-400-30,43.389775,
ba-400-31,24.609774999999996,
dms-400-31,58.369775000000004,
ba-400-32,24.464775,
dms-400-32,53.859775,
ba-400-33,22.719775000000002,
dms-400-33,53.37977500000001,
ba-400-34,20.849774999999998,
dms-400-34,54.98977500000001,
ba-400-35,23.219775000000002,
dms-400-35,43.70977500000001,
ba-400-36,24.819774999999996,
dms-400-36,52.20977500000001,
ba-400-37,24.109774999999996,
dms-400-37,56.92477500000001,
ba-400-38,21.314775,
dms-400-38,51.164775000000006,
ba-400-39,23.929775000000003,
dms-400-39,50.259775000000005,
ba-500-0,20.115855999999994,
dms-500-0,67.655856,
ba-500-1,22.775855999999997,
dms-500-1,59.18385599999999,
ba-500-2,24.991856,
dms-500-2,53.995856,
ba-500-3,31.799856000000005,
dms-500-3,52.235856,
ba-500-4,23.895856000000002,
dms-500-4,51.751856000000004,
ba-500-5,19.395856000000002,
dms-500-5,52.911856,
ba-500-6,24.439855999999992,
